Title / author,Translator,Original,Reference,Translation,Meaning (1-5),Poeticness (1-5),Overall (1-5)
"Sbohem a šáteček 3
Vítězslav Nezval",Google Translate,"Sbohem a kdybychom si neřekli už více
ať po nás zůstane maličká památka
vzdušná jak kapesník prostší než pohlednice
a trochu mámivá jak vůně pozlátka","Goodbye and if we should not ever speak again
let there be something left a keepsake what we meant
as airy as a napkin more than a postcard plain
with suppositious scent of gilded ornament","Goodbye and if we don't talk anymore
let a small memory remain behind us
airy as a handkerchief simpler than a postcard
and a bit intoxicating like the smell of tinsel",4,3,3.5
"Sbohem a šáteček 3
Vítězslav Nezval",Vilém Zouhar,"Sbohem a kdybychom si neřekli už více
ať po nás zůstane maličká památka
vzdušná jak kapesník prostší než pohlednice
a trochu mámivá jak vůně pozlátka","Goodbye and if we should not ever speak again
let there be something left a keepsake what we meant
as airy as a napkin more than a postcard plain
with suppositious scent of gilded ornament","Farewell and if we talk no more
of all of us let a small memento remain
airy as a handkerchief, plain as a postcard on the floor
and little intoxicating as the scent of golden cane.",3,3,3
"Sbohem a šáteček 4
Vítězslav Nezval",LINDAT,"A jestli viděl jsem co neviděli jiní
tím lépe vlaštovko jež hledáš rodný chlév
Ukázalas mi jih kde máš své hnízdo v skříni
Tvým osudem je let mým osudem je zpěv","And if I chanced to notice what others did not see
so much the better swift as you seek your home byre
You have shown me the south your nest there in etui
Your fate is flight my fate is song without a lyre","And if I've seen what others haven't
so much the better, swallow looking for your native barn
You showed me the south where you keep your nest in your closet
Your destiny is flight My destiny is singing",2.5,2.5,2.5
"Sbohem a šáteček 4
Vítězslav Nezval",Vilém Zouhar,"A jestli viděl jsem co neviděli jiní
tím lépe vlaštovko jež hledáš rodný chlév
Ukázalas mi jih kde máš své hnízdo v skříni
Tvým osudem je let mým osudem je zpěv","And if I chanced to notice what others did not see
so much the better swift as you seek your home byre
You have shown me the south your nest there in etui
Your fate is flight my fate is song without a lyre","And if we saw what others did not
the better, swallow who seeks your anchor ring
You showed me the south where in a wardrobe you squat
your destiny is to fly, mine is to sing.",4,4.5,4.5
"Sbohem a šáteček 4
Vítězslav Nezval",Roman Kostovski,"A jestli viděl jsem co neviděli jiní
tím lépe vlaštovko jež hledáš rodný chlév
Ukázalas mi jih kde máš své hnízdo v skříni
Tvým osudem je let mým osudem je zpěv","And if I’ve seen what no one’s seen before
That’s for the best. Swallow, seek your native barn!
You’ve shown me the south where you’ll nest once more
Your destiny’s flight, my destiny’s song","And if I’ve seen what no one’s seen before
That’s for the best. Swallow, seek your native barn!
You’ve shown me the south where you’ll nest once more
Your destiny’s flight, my destiny’s song",4.5,4,4.5
"Sbohem a šáteček 4
Vítězslav Nezval",Google Translate,"A jestli viděl jsem co neviděli jiní
tím lépe vlaštovko jež hledáš rodný chlév
Ukázalas mi jih kde máš své hnízdo v skříni
Tvým osudem je let mým osudem je zpěv","And if I chanced to notice what others did not see
so much the better swift as you seek your home byre
You have shown me the south your nest there in etui
Your fate is flight my fate is song without a lyre","And if I saw what others did not see
the better the swallow that you are looking for a native barn
You showed me south where you keep your nest in the closet
Your destiny is to fly, my destiny is to sing",4,3,3.5
"Sbohem a šáteček 5
Vítězslav Nezval",Vilém Zouhar,"Sbohem a bylo-li to všecko naposledy
tím hůře mé naděje nic vám už nezbude
Chcem-li se setkati nelučme se radš tedy
Sbohem a šáteček Vyplň se osude!","Goodbye and if this shall have been the final call
so much the worse my hope and nothing left all-told
If we would meet again then best not part at all
Goodbye and silken wave Let fate fulfilled unfold!","Farewell and if all this was for the last time
these hardships, my hopes will not have prevailed
Should we mean to meet again, goodbyes are not prime
Farewell and a handkerchief. Destiny be fulfilled. ",3.5,3.5,3.5
"Sbohem a šáteček 5
Vítězslav Nezval",Google Translate,"Sbohem a bylo-li to všecko naposledy
tím hůře mé naděje nic vám už nezbude
Chcem-li se setkati nelučme se radš tedy
Sbohem a šáteček Vyplň se osude!","Goodbye and if this shall have been the final call
so much the worse my hope and nothing left all-told
If we would meet again then best not part at all
Goodbye and silken wave Let fate fulfilled unfold!","Goodbye and if it was all for the last time
the worse my hope will be nothing left for you
If I want to meet, don't say goodbye
Goodbye and scarf Fulfill your destiny!",2.5,2,2.5
"Sbohem a šáteček 5
Vítězslav Nezval",LINDAT,"Sbohem a bylo-li to všecko naposledy
tím hůře mé naděje nic vám už nezbude
Chcem-li se setkati nelučme se radš tedy
Sbohem a šáteček Vyplň se osude!","Goodbye and if this shall have been the final call
so much the worse my hope and nothing left all-told
If we would meet again then best not part at all
Goodbye and silken wave Let fate fulfilled unfold!","Farewell, and if it was all for the last time
the worse my hopes will leave nothing for you
If we want to meet let's not say goodbye
Farewell and a scarf Fulfil your destiny!",2.5,2,2.5
"Sbohem a šáteček 5
Vítězslav Nezval",Roman Kostovski,"Sbohem a bylo-li to všecko naposledy
tím hůře mé naděje nic vám už nezbude
Chcem-li se setkati nelučme se radš tedy
Sbohem a šáteček Vyplň se osude!","Goodbye and if this shall have been the final call
so much the worse my hope and nothing left all-told
If we would meet again then best not part at all
Goodbye and silken wave Let fate fulfilled unfold!","Farewell, and if it’s for the last time
So much for my hopes—nothing else is left
But if you wish to meet again, don’t say goodbye
Leave it to fate! Farewell and a handkerchief!",4,4.5,4.5
